,name,party,state,chamber,year,net_worth,pct_change
1544,Aaron Schock (R-Ill),R,Ill,House,2009,41302,
2104,Aaron Schock (R-Ill),R,Ill,House,2010,100913,1.443295724178006
2652,Aaron Schock (R-Ill),R,Ill,House,2011,144186,0.4288149197823867
3100,Aaron Schock (R-Ill),R,Ill,House,2012,535087,2.711088455189824
3588,Aaron Schock (R-Ill),R,Ill,House,2013,1023694,0.9131356209364085
4098,Aaron Schock (R-Ill),R,Ill,House,2014,1475001,0.4408612339234186
4574,Aaron Schock (R-Ill),R,Ill,House,2015,2100003,0.423729882217029
508,Adam H Putnam (R-Fla),R,Fla,House,2008,6716513,
1092,Adam H Putnam (R-Fla),R,Fla,House,2009,6453513,-0.039157223398510466
1679,Adam H Putnam (R-Fla),R,Fla,House,2010,7028012,0.08902112694279851
2650,Adam Kinzinger (R-Ill),R,Ill,House,2011,146003,
3203,Adam Kinzinger (R-Ill),R,Ill,House,2012,188503,0.2910899091114567
3757,Adam Kinzinger (R-Ill),R,Ill,House,2013,205002,0.08752645846485207
4275,Adam Kinzinger (R-Ill),R,Ill,House,2014,199002,-0.02926800714139377
4768,Adam Kinzinger (R-Ill),R,Ill,House,2015,358001,0.7989819197797008
5264,Adam Kinzinger (R-Ill),R,Ill,House,2016,189002,-0.4720629271985274
5804,Adam Kinzinger (R-Ill),R,Ill,House,2017,238002,0.2592565158040656
298,Adam Kinzinger (R-Ill),R,Ill,House,2018,413003,0.7352921404021815
788,Adam Schiff (D-Calif),D,Calif,House,2008,560507,
1303,Adam Schiff (D-Calif),D,Calif,House,2009,1015017,0.8108908541730968
1896,Adam Schiff (D-Calif),D,Calif,House,2010,1052016,0.03645160622925525
2456,Adam Schiff (D-Calif),D,Calif,House,2011,1024016,-0.026615564782284662
3018,Adam Schiff (D-Calif),D,Calif,House,2012,1119013,0.09276905829596416
3592,Adam Schiff (D-Calif),D,Calif,House,2013,1003014,-0.10366188775286789
4079,Adam Schiff (D-Calif),D,Calif,House,2014,1736021,0.7308043556720045
4593,Adam Schiff (D-Calif),D,Calif,House,2015,1674016,-0.03571673384135332
5186,Adam Schiff (D-Calif),D,Calif,House,2016,692011,-0.5866162569533386
5896,Adam Schiff (D-Calif),D,Calif,House,2017,-238990,-1.3453557819167614
200,Adam Schiff (D-Calif),D,Calif,House,2018,1436011,-7.008665634545379
877,Adam Smith (D-Wash),D,Wash,House,2008,228006,
1439,Adam Smith (D-Wash),D,Wash,House,2009,325507,0.4276247116303957
2007,Adam Smith (D-Wash),D,Wash,House,2010,407507,0.2519147053673192
2496,Adam Smith (D-Wash),D,Wash,House,2011,764005,0.8748266900936672
3152,Adam Smith (D-Wash),D,Wash,House,2012,354505,-0.5359912566017238
3708,Adam Smith (D-Wash),D,Wash,House,2013,354505,0.0
4230,Adam Smith (D-Wash),D,Wash,House,2014,379005,0.06911044978209047
4792,Adam Smith (D-Wash),D,Wash,House,2015,280005,-0.261210274270788
5367,Adam Smith (D-Wash),D,Wash,House,2016,-1995,-1.0071248727701292
5855,Adam Smith (D-Wash),D,Wash,House,2017,18005,-10.025062656641603
305,Adam Smith (D-Wash),D,Wash,House,2018,393006,20.82760344348792
907,Adrian Smith (R-Neb),R,Neb,House,2008,173003,
1482,Adrian Smith (R-Neb),R,Neb,House,2009,196504,0.13584157500158955
2029,Adrian Smith (R-Neb),R,Neb,House,2010,330006,0.6793856613605831
2649,Adrian Smith (R-Neb),R,Neb,House,2011,153505,-0.5348417907553196
3184,Adrian Smith (R-Neb),R,Neb,House,2012,236506,0.5407055144783557
3697,Adrian Smith (R-Neb),R,Neb,House,2013,393506,0.6638309387499683
4239,Adrian Smith (R-Neb),R,Neb,House,2014,334507,-0.14993164017829463
4772,Adrian Smith (R-Neb),R,Neb,House,2015,334507,0.0
5404,Adrian Smith (R-Neb),R,Neb,House,2016,-547494,-2.6367191120066247
5934,Adrian Smith (R-Neb),R,Neb,House,2017,-1414995,1.5844940766474154
275,Adrian Smith (R-Neb),R,Neb,House,2018,535508,-1.378452220679225
5861,Adriano Espaillat (D-NY),D,NY,House,2017,8000,
395,Adriano Espaillat (D-NY),D,NY,House,2018,8000,0.0
1104,Al Franken (D-Minn),D,Minn,Senate,2009,5923026,
1665,Al Franken (D-Minn),D,Minn,Senate,2010,8747525,0.47686756735492963
2242,Al Franken (D-Minn),D,Minn,Senate,2011,8429528,-0.03635279693398985
2810,Al Franken (D-Minn),D,Minn,Senate,2012,8563027,0.015837067033883656
3410,Al Franken (D-Minn),D,Minn,Senate,2013,5009022,-0.4150407326754897
3935,Al Franken (D-Minn),D,Minn,Senate,2014,8521526,0.701235490680616
4452,Al Franken (D-Minn),D,Minn,Senate,2015,7065532,-0.17086071203678777
4994,Al Franken (D-Minn),D,Minn,Senate,2016,7226534,0.02278696069878383
539,Al Green (D-Texas),D,Texas,House,2008,4516005,
1122,Al Green (D-Texas),D,Texas,House,2009,4907505,0.08669166663898742
1719,Al Green (D-Texas),D,Texas,House,2010,4532505,-0.07641357471872168
2288,Al Green (D-Texas),D,Texas,House,2011,4407505,-0.027578568584039065
2859,Al Green (D-Texas),D,Texas,House,2012,4507505,0.022688573240416066
3416,Al Green (D-Texas),D,Texas,House,2013,4707505,0.04437044440327864
3940,Al Green (D-Texas),D,Texas,House,2014,7565006,0.607009657982307
4476,Al Green (D-Texas),D,Texas,House,2015,5100006,-0.3258424381950259
5019,Al Green (D-Texas),D,Texas,House,2016,5375006,0.053921505190386076
5540,Al Green (D-Texas),D,Texas,House,2017,5375006,0.0
98,Al Green (D-Texas),D,Texas,House,2018,5373507,-0.00027888340961856883
5503,Al Lawson (D-Fla),D,Fla,House,2017,8396064,
57,Al Lawson (D-Fla),D,Fla,House,2018,8673061,0.03299129211020779
491,Alan B Mollohan (D-WVa),D,WVa,House,2008,10556506,
1070,Alan B Mollohan (D-WVa),D,WVa,House,2009,10222006,-0.03168662055418714
1659,Alan B Mollohan (D-WVa),D,WVa,House,2010,10289506,0.006603400545841964
1612,Alan Grayson (D-Fla),D,Fla,House,2010,93896519,
3308,Alan Grayson (D-Fla),D,Fla,House,2013,64375031,-0.3144044988504845
3876,Alan Grayson (D-Fla),D,Fla,House,2014,60090023,-0.06656319901422647
4399,Alan Grayson (D-Fla),D,Fla,House,2015,23668014,-0.6061240648884425
3521,Alan Lowenthal (D-Calif),D,Calif,House,2013,1820525,
4071,Alan Lowenthal (D-Calif),D,Calif,House,2014,1860527,0.02197278257645463
4578,Alan Lowenthal (D-Calif),D,Calif,House,2015,1963531,0.05536280849458253
5102,Alan Lowenthal (D-Calif),D,Calif,House,2016,1858533,-0.05347407298382356
5601,Alan Lowenthal (D-Calif),D,Calif,House,2017,2801056,0.5071327762272717
143,Alan Lowenthal (D-Calif),D,Calif,House,2018,3015071,0.07640511292883834
1022,Alan Mark Grayson (D-Fla),D,Fla,House,2009,54966522,
2522,Alan Nunnelee (R-Miss),R,Miss,House,2011,620005,
3087,Alan Nunnelee (R-Miss),R,Miss,House,2012,620005,0.0
3648,Alan Nunnelee (R-Miss),R,Miss,House,2013,628006,0.012904734639236803
4338,Alan Nunnelee (R-Miss),R,Miss,House,2014,0,-1.0
895,Albio Sires (D-NJ),D,NJ,House,2008,188503,
1478,Albio Sires (D-NJ),D,NJ,House,2009,213003,0.1299714062906161
2076,Albio Sires (D-NJ),D,NJ,House,2010,188503,-0.11502185415228894
2624,Albio Sires (D-NJ),D,NJ,House,2011,231003,0.2254606027490278
3207,Albio Sires (D-NJ),D,NJ,House,2012,180502,-0.21861620844750929
3790,Albio Sires (D-NJ),D,NJ,House,2013,89002,-0.5069195909186601
4294,Albio Sires (D-NJ),D,NJ,House,2014,148502,0.6685243028246557
4836,Albio Sires (D-NJ),D,NJ,House,2015,148502,0.0
5381,Albio Sires (D-NJ),D,NJ,House,2016,-101498,-1.6834790103836985
5913,Albio Sires (D-NJ),D,NJ,House,2017,-443998,3.374450728093165
371,Albio Sires (D-NJ),D,NJ,House,2018,81002,-1.182437758728643
1007,Alcee L Hastings (D-Fla),D,Fla,House,2008,-4732002,
1598,Alcee L Hastings (D-Fla),D,Fla,House,2009,-4732002,0.0
2174,Alcee L Hastings (D-Fla),D,Fla,House,2010,-4732002,0.0
2743,Alcee L Hastings (D-Fla),D,Fla,House,2011,-4732002,0.0
3293,Alcee L Hastings (D-Fla),D,Fla,House,2012,-4732002,0.0
3856,Alcee L Hastings (D-Fla),D,Fla,House,2013,-4732002,0.0
4361,Alcee L Hastings (D-Fla),D,Fla,House,2014,-4732002,0.0
4903,Alcee L Hastings (D-Fla),D,Fla,House,2015,-1592001,-0.6635671328963935
5420,Alcee L Hastings (D-Fla),D,Fla,House,2016,-4732002,1.9723611982655789
5939,Alcee L Hastings (D-Fla),D,Fla,House,2017,-4732002,0.0
432,Alcee L Hastings (D-Fla),D,Fla,House,2018,-7549002,0.5953082860066417
5313,Alex Mooney (R-WVa),R,WVa,House,2016,0,
5897,Alex Mooney (R-WVa),R,WVa,House,2017,-245995,
359,Alex Mooney (R-WVa),R,WVa,House,2018,137005,-1.556942214272648
499,Allen Boyd (D-Fla),D,Fla,House,2008,7882006,
1080,Allen Boyd (D-Fla),D,Fla,House,2009,7539006,-0.04351684076363305
1680,Allen Boyd (D-Fla),D,Fla,House,2010,7007506,-0.07050001021354801
2651,Allen West (R-Fla),R,Fla,House,2011,145504,
3208,Allen West (R-Fla),R,Fla,House,2012,175500,0.2061524081812185
628,Allyson Schwartz (D-Pa),D,Pa,House,2008,1774020,
1190,Allyson Schwartz (D-Pa),D,Pa,House,2009,2492520,0.4050123448439138
1772,Allyson Schwartz (D-Pa),D,Pa,House,2010,2830021,0.13540553335580063
2360,Allyson Schwartz (D-Pa),D,Pa,House,2011,2577522,-0.08922159941569341
2902,Allyson Schwartz (D-Pa),D,Pa,House,2012,3044525,0.18118293461704682
3427,Allyson Schwartz (D-Pa),D,Pa,House,2013,4496525,0.47692168729112105
3828,Alma Adams (D-NC),D,NC,House,2013,0,
4224,Alma Adams (D-NC),D,NC,House,2014,407501,
4750,Alma Adams (D-NC),D,NC,House,2015,407501,0.0
5225,Alma Adams (D-NC),D,NC,House,2016,407501,0.0
5766,Alma Adams (D-NC),D,NC,House,2017,407501,0.0
300,Alma Adams (D-NC),D,NC,House,2018,407501,0.0
4823,Amata Coleman Radewagen (R-AS),R,AS,House,2015,176509,
5262,Amata Coleman Radewagen (R-AS),R,AS,House,2016,193009,0.0934796525956183
5799,Amata Coleman Radewagen (R-AS),R,AS,House,2017,258010,0.3367770414851121
350,Amata Coleman Radewagen (R-AS),R,AS,House,2018,193009,-0.25193209565520713
3406,Ami Bera (D-Calif),D,Calif,House,2013,5103032,
3959,Ami Bera (D-Calif),D,Calif,House,2014,5732531,0.1233578390258967
4471,Ami Bera (D-Calif),D,Calif,House,2015,5699533,-0.005756270659504459
5014,Ami Bera (D-Calif),D,Calif,House,2016,5699533,0.0
5510,Ami Bera (D-Calif),D,Calif,House,2017,7310531,0.28265438589442327
70,Ami Bera (D-Calif),D,Calif,House,2018,7420029,0.0149781185525375
735,Amy Klobuchar (D-Minn),D,Minn,Senate,2008,786521,
1399,Amy Klobuchar (D-Minn),D,Minn,Senate,2009,456513,-0.41957938821722496
1941,Amy Klobuchar (D-Minn),D,Minn,Senate,2010,724514,0.587061047549577
2508,Amy Klobuchar (D-Minn),D,Minn,Senate,2011,681014,-0.060040247669472246
3052,Amy Klobuchar (D-Minn),D,Minn,Senate,2012,812514,0.19309441509278802
3599,Amy Klobuchar (D-Minn),D,Minn,Senate,2013,939017,0.15569331728437907
4126,Amy Klobuchar (D-Minn),D,Minn,Senate,2014,1064515,0.1336482726084831
4638,Amy Klobuchar (D-Minn),D,Minn,Senate,2015,1112513,0.04508907812477991
5128,Amy Klobuchar (D-Minn),D,Minn,Senate,2016,1212013,0.08943715713883793
5668,Amy Klobuchar (D-Minn),D,Minn,Senate,2017,1320512,0.08951966686825963
399,Amy Klobuchar (D-Minn),D,Minn,Senate,2018,0,-1.0
544,Ander Crenshaw (R-Fla),R,Fla,House,2008,4327009,
1129,Ander Crenshaw (R-Fla),R,Fla,House,2009,4487509,0.037092596756789664
1721,Ander Crenshaw (R-Fla),R,Fla,House,2010,4479509,-0.0017827262296298274
2369,Ander Crenshaw (R-Fla),R,Fla,House,2011,2367511,-0.47147979834397025
2938,Ander Crenshaw (R-Fla),R,Fla,House,2012,2388506,0.00886796302107995
3525,Ander Crenshaw (R-Fla),R,Fla,House,2013,1771006,-0.25852980901031863
4074,Ander Crenshaw (R-Fla),R,Fla,House,2014,1796507,0.014399160703012948
4595,Ander Crenshaw (R-Fla),R,Fla,House,2015,1654007,-0.07932059268346858
994,Andre Carson (D-Ind),D,Ind,House,2008,-34998,
1582,Andre Carson (D-Ind),D,Ind,House,2009,-18498,-0.4714555117435282
2155,Andre Carson (D-Ind),D,Ind,House,2010,-25998,0.40544923775543307
2727,Andre Carson (D-Ind),D,Ind,House,2011,-42998,0.6538964535733518
3264,Andre Carson (D-Ind),D,Ind,House,2012,7502,-1.1744732313130843
3817,Andre Carson (D-Ind),D,Ind,House,2013,16501,1.1995467875233272
4341,Andre Carson (D-Ind),D,Ind,House,2014,-15498,-1.939215805102721
4882,Andre Carson (D-Ind),D,Ind,House,2015,-40499,1.6131758936636986
5399,Andre Carson (D-Ind),D,Ind,House,2016,-408499,9.086644114669499
5870,Andre Carson (D-Ind),D,Ind,House,2017,-37000,-0.9094245028751601
405,Andre Carson (D-Ind),D,Ind,House,2018,-24500,-0.33783783783783783
3716,Andy Barr (R-Ky),R,Ky,House,2013,328009,
4238,Andy Barr (R-Ky),R,Ky,House,2014,335509,0.022865226259035643
4774,Andy Barr (R-Ky),R,Ky,House,2015,328009,-0.0223540948230897
5309,Andy Barr (R-Ky),R,Ky,House,2016,0,-1.0
5910,Andy Barr (R-Ky),R,Ky,House,2017,-401496,
294,Andy Barr (R-Ky),R,Ky,House,2018,429506,-2.069764082332078
5538,Andy Biggs (R-Ariz),R,Ariz,House,2017,5649503,
111,Andy Biggs (R-Ariz),R,Ariz,House,2018,4512004,-0.201344967867085
2373,Andy Harris (R-Md),R,Md,House,2011,2304524,
2922,Andy Harris (R-Md),R,Md,House,2012,2696026,0.16988410621889805
3479,Andy Harris (R-Md),R,Md,House,2013,2871523,0.06509469864163031
4034,Andy Harris (R-Md),R,Md,House,2014,2907022,0.012362429275335707
4540,Andy Harris (R-Md),R,Md,House,2015,3033521,0.04351497855881381
5089,Andy Harris (R-Md),R,Md,House,2016,2210519,-0.27130255567704986
5616,Andy Harris (R-Md),R,Md,House,2017,2405018,0.08798793405530558
137,Andy Harris (R-Md),R,Md,House,2018,3244519,0.34906225234073096
3352,Angus King (I-Maine),I,Maine,Senate,2013,15656086,
3921,Angus King (I-Maine),I,Maine,Senate,2014,12677080,-0.19027782550504646
4424,Angus King (I-Maine),I,Maine,Senate,2015,12668575,-0.0006708958214352023
4973,Angus King (I-Maine),I,Maine,Senate,2016,10116574,-0.20144341411721522
5491,Angus King (I-Maine),I,Maine,Senate,2017,9867567,-0.024613767467128733
54,Angus King (I-Maine),I,Maine,Senate,2018,9494061,-0.037851883853436186
1313,Ann Kirkpatrick (D-Ariz),D,Ariz,House,2009,914512,
1873,Ann Kirkpatrick (D-Ariz),D,Ariz,House,2010,1190011,0.3012524712633624
3569,Ann Kirkpatrick (D-Ariz),D,Ariz,House,2013,1258509,0.05756081246307798
4112,Ann Kirkpatrick (D-Ariz),D,Ariz,House,2014,1181008,-0.06158160172076643
4624,Ann Kirkpatrick (D-Ariz),D,Ariz,House,2015,1246009,0.05503857721539562
5308,Ann Kuster (D-NH),D,NH,House,2016,0,
5712,Ann Kuster (D-NH),D,NH,House,2017,808501,
154,Ann Kuster (D-NH),D,NH,House,2018,2762620,2.4169654706673214
3388,Ann L Wagner (R-Mo),R,Mo,House,2013,6671558,
3944,Ann L Wagner (R-Mo),R,Mo,House,2014,7372060,0.10499826277460222
4438,Ann L Wagner (R-Mo),R,Mo,House,2015,8402561,0.1397846734833954
4982,Ann L Wagner (R-Mo),R,Mo,House,2016,8955562,0.06581338713280394
5486,Ann L Wagner (R-Mo),R,Mo,House,2017,10957567,0.22354878454305838
45,Ann L Wagner (R-Mo),R,Mo,House,2018,11055565,0.008943408696474364
2639,Ann Marie Buerkle (R-NY),R,NY,House,2011,183001,
3255,Ann Marie Buerkle (R-NY),R,NY,House,2012,24001,-0.8688477112146928
3517,Ann Mclane Kuster (D-NH),D,NH,House,2013,1937701,
4067,Ann Mclane Kuster (D-NH),D,NH,House,2014,1977617,0.020599669402038723
4535,Ann Mclane Kuster (D-NH),D,NH,House,2015,3148275,0.5919538515293912
648,Anna Eshoo (D-Calif),D,Calif,House,2008,1508003,
1239,Anna Eshoo (D-Calif),D,Calif,House,2009,1683503,0.11637907882146115
1823,Anna Eshoo (D-Calif),D,Calif,House,2010,1841505,0.09385311460686441
2359,Anna Eshoo (D-Calif),D,Calif,House,2011,2582006,0.4021172899340486
2949,Anna Eshoo (D-Calif),D,Calif,House,2012,2073505,-0.19694028596370416
3520,Anna Eshoo (D-Calif),D,Calif,House,2013,1873505,-0.09645503627915053
4056,Anna Eshoo (D-Calif),D,Calif,House,2014,2273505,0.21350356684396354
4644,Anna Eshoo (D-Calif),D,Calif,House,2015,1066004,-0.5311186911838769
5366,Anna Eshoo (D-Calif),D,Calif,House,2016,0,-1.0
5495,Anna Eshoo (D-Calif),D,Calif,House,2017,9597010,
50,Anna Eshoo (D-Calif),D,Calif,House,2018,10298011,0.07304368756518964
5900,Anthony Brown (D-Md),D,Md,House,2017,-301999,
352,Anthony Brown (D-Md),D,Md,House,2018,188503,-1.6241841860403512
937,Anthony D Weiner (D-NY),D,NY,House,2008,83506,
1517,Anthony D Weiner (D-NY),D,NY,House,2009,108008,0.29341604196105675
2034,Anthony D Weiner (D-NY),D,NY,House,2010,303509,1.8100603658988224
568,Arlen Specter (D-Pa),D,Pa,Senate,2008,3548004,
1749,Arlen Specter (D-Pa),D,Pa,Senate,2010,3555505,0.00211414643275476
1159,Arlen Specter (R-Pa),R,Pa,Senate,2009,3555505,
996,Artur Davis (D-Ala),D,Ala,House,2008,-45000,
1590,Artur Davis (D-Ala),D,Ala,House,2009,-88499,0.9666444444444444
2162,Artur Davis (D-Ala),D,Ala,House,2010,-69500,-0.2146803918688347
2401,Austin Scott (R-Ga),R,Ga,House,2011,1751613,
2864,Austin Scott (R-Ga),R,Ga,House,2012,4409756,1.5175401187362731
3409,Austin Scott (R-Ga),R,Ga,House,2013,5022517,0.1389557608176053
3979,Austin Scott (R-Ga),R,Ga,House,2014,4672019,-0.06978532875050503
4494,Austin Scott (R-Ga),R,Ga,House,2015,4244515,-0.09150305253467506
5092,Austin Scott (R-Ga),R,Ga,House,2016,2056521,-0.5154873996204513
5631,Austin Scott (R-Ga),R,Ga,House,2017,2071522,0.0072943578013549
164,Austin Scott (R-Ga),R,Ga,House,2018,2397020,0.1571298784178976
848,Barbara A Mikulski (D-Md),D,Md,Senate,2008,338009,
1443,Barbara A Mikulski (D-Md),D,Md,Senate,2009,313508,-0.072486235573609
2028,Barbara A Mikulski (D-Md),D,Md,Senate,2010,336508,0.07336335914872993
2586,Barbara A Mikulski (D-Md),D,Md,Senate,2011,379008,0.12629714598167063
3125,Barbara A Mikulski (D-Md),D,Md,Senate,2012,454508,0.19920423843296176
3672,Barbara A Mikulski (D-Md),D,Md,Senate,2013,511508,0.12541033381150601
4203,Barbara A Mikulski (D-Md),D,Md,Senate,2014,499508,-0.023460043635681216
4729,Barbara A Mikulski (D-Md),D,Md,Senate,2015,499508,0.0
5203,Barbara A Mikulski (D-Md),D,Md,Senate,2016,516008,0.0330325039839201
581,Barbara Boxer (D-Calif),D,Calif,Senate,2008,3208503,
1164,Barbara Boxer (D-Calif),D,Calif,Senate,2009,3406004,0.061555498000157804
1753,Barbara Boxer (D-Calif),D,Calif,Senate,2010,3449004,0.01262476497385201
2327,Barbara Boxer (D-Calif),D,Calif,Senate,2011,3263504,-0.053783643045934415
2893,Barbara Boxer (D-Calif),D,Calif,Senate,2012,3331503,0.020836193245052037
3463,Barbara Boxer (D-Calif),D,Calif,Senate,2013,3221004,-0.033167912500754126
4022,Barbara Boxer (D-Calif),D,Calif,Senate,2014,3189003,-0.009935100980936418
4533,Barbara Boxer (D-Calif),D,Calif,Senate,2015,3189003,0.0
5067,Barbara Boxer (D-Calif),D,Calif,Senate,2016,3239504,0.015835983848243584
4621,Barbara Comstock (R-Va),R,Va,House,2015,1281522,
5123,Barbara Comstock (R-Va),R,Va,House,2016,1286022,0.0035114496668804396
5644,Barbara Comstock (R-Va),R,Va,House,2017,1614020,0.2550485139445515
796,Barbara Cubin (R-Wyo),R,Wyo,House,2008,521508,
941,Barbara Lee (D-Calif),D,Calif,House,2008,80505,
1567,Barbara Lee (D-Calif),D,Calif,House,2009,7003,-0.9130116141854543
2009,Barbara Lee (D-Calif),D,Calif,House,2010,392503,55.04783664143938
2536,Barbara Lee (D-Calif),D,Calif,House,2011,534507,0.3617908652927493
3154,Barbara Lee (D-Calif),D,Calif,House,2012,352507,-0.3405006856785786
3650,Barbara Lee (D-Calif),D,Calif,House,2013,618507,0.7545949442138737
4184,Barbara Lee (D-Calif),D,Calif,House,2014,630009,0.01859639422027559
4802,Barbara Lee (D-Calif),D,Calif,House,2015,240507,-0.618248310738418
5394,Barbara Lee (D-Calif),D,Calif,House,2016,-285993,-2.1891254724394713
5903,Barbara Lee (D-Calif),D,Calif,House,2017,-326994,0.143363648760634
336,Barbara Lee (D-Calif),D,Calif,House,2018,257504,-1.7874884554456658
705,Barney Frank (D-Mass),D,Mass,House,2008,972150,
1291,Barney Frank (D-Mass),D,Mass,House,2009,1083510,0.11455022373090573
1894,Barney Frank (D-Mass),D,Mass,House,2010,1064512,-0.017533756033631387
2452,Barney Frank (D-Mass),D,Mass,House,2011,1080283,0.014815239283352266
3020,Barney Frank (D-Mass),D,Mass,House,2012,1090001,0.008995790917750268
842,Baron Hill (D-Ind),D,Ind,House,2008,355006,
1295,Baron Hill (D-Ind),D,Ind,House,2009,1063518,1.995774719300519
2022,Baron Hill (D-Ind),D,Ind,House,2010,355006,-0.6661965288786837
4859,Barry Loudermilk (R-Ga),R,Ga,House,2015,48501,
5290,Barry Loudermilk (R-Ga),R,Ga,House,2016,48501,0.0
5844,Barry Loudermilk (R-Ga),R,Ga,House,2017,48501,0.0
383,Barry Loudermilk (R-Ga),R,Ga,House,2018,40501,-0.16494505267932624
590,Bart Gordon (D-Tenn),D,Tenn,House,2008,2962519,
1108,Bart Gordon (D-Tenn),D,Tenn,House,2009,5673043,0.9149389421637464
1767,Bart Gordon (D-Tenn),D,Tenn,House,2010,3053517,-0.46174971703898593
1004,Bart Stupak (D-Mich),D,Mich,House,2008,-411496,
1596,Bart Stupak (D-Mich),D,Mich,House,2009,-411496,0.0
2170,Bart Stupak (D-Mich),D,Mich,House,2010,-178996,-0.5650115675486518
610,Ben Cardin (D-Md),D,Md,Senate,2008,2282541,
1198,Ben Cardin (D-Md),D,Md,Senate,2009,2405039,0.05366738209740807
1782,Ben Cardin (D-Md),D,Md,Senate,2010,2537037,0.054883933275094554
2353,Ben Cardin (D-Md),D,Md,Senate,2011,2707037,0.06700730024828183
2847,Ben Cardin (D-Md),D,Md,Senate,2012,5276037,0.9490080852238074
3476,Ben Cardin (D-Md),D,Md,Senate,2013,2979553,-0.43526684896258305
4031,Ben Cardin (D-Md),D,Md,Senate,2014,3004556,0.008391527185453551
4547,Ben Cardin (D-Md),D,Md,Senate,2015,2825553,-0.05957718877597884
5073,Ben Cardin (D-Md),D,Md,Senate,2016,2997053,0.06069608320919828
5583,Ben Cardin (D-Md),D,Md,Senate,2017,3453048,0.1521477931821693
139,Ben Cardin (D-Md),D,Md,Senate,2018,3112546,-0.09860911287650798
775,Ben Chandler (D-Ky),D,Ky,House,2008,611506,
1364,Ben Chandler (D-Ky),D,Ky,House,2009,654006,0.06950054455720789
1948,Ben Chandler (D-Ky),D,Ky,House,2010,654006,0.0
2492,Ben Chandler (D-Ky),D,Ky,House,2011,778506,0.19036522600710093
3053,Ben Chandler (D-Ky),D,Ky,House,2012,811507,0.04239016783428773
485,Ben Nelson (D-Neb),D,Neb,Senate,2008,12451031,
1062,Ben Nelson (D-Neb),D,Neb,Senate,2009,12316554,-0.01080047106139248
1660,Ben Nelson (D-Neb),D,Neb,Senate,2010,10180548,-0.17342561888658148
2238,Ben Nelson (D-Neb),D,Neb,Senate,2011,9246036,-0.09179387985794085
2789,Ben Nelson (D-Neb),D,Neb,Senate,2012,15043552,0.6270271930587334
2464,Ben Quayle (R-Ariz),R,Ariz,House,2011,967050,
3042,Ben Quayle (R-Ariz),R,Ariz,House,2012,879044,-0.09100460162349411
1549,Ben R Lujan (D-NM),D,NM,House,2009,40501,
2124,Ben R Lujan (D-NM),D,NM,House,2010,40501,0.0
2653,Ben R Lujan (D-NM),D,NM,House,2011,140501,2.4690748376583294
3199,Ben R Lujan (D-NM),D,NM,House,2012,205502,0.46263727660301357
3733,Ben R Lujan (D-NM),D,NM,House,2013,280502,0.3649599517279638
4252,Ben R Lujan (D-NM),D,NM,House,2014,280502,0.0
4791,Ben R Lujan (D-NM),D,NM,House,2015,280502,0.0
5302,Ben R Lujan (D-NM),D,NM,House,2016,0,-1.0
5791,Ben Ray Lujan (D-NM),D,NM,House,2017,274002,
330,Ben Ray Lujan (D-NM),D,NM,House,2018,274002,0.0
4605,Ben Sasse (R-Neb),R,Neb,Senate,2015,1490523,
5116,Ben Sasse (R-Neb),R,Neb,Senate,2016,1446022,-0.029855963309522893
5684,Ben Sasse (R-Neb),R,Neb,Senate,2017,1082513,-0.2513855252548025
151,Ben Sasse (R-Neb),R,Neb,Senate,2018,2788007,1.5754951672635804
707,Bennie G Thompson (D-Miss),D,Miss,House,2008,966011,
1349,Bennie G Thompson (D-Miss),D,Miss,House,2009,732011,-0.24223326649489496
1933,Bennie G Thompson (D-Miss),D,Miss,House,2010,773013,0.05601281947948866
2498,Bennie G Thompson (D-Miss),D,Miss,House,2011,756513,-0.021345048530878485
3079,Bennie G Thompson (D-Miss),D,Miss,House,2012,647014,-0.14474172948779462
3642,Bennie G Thompson (D-Miss),D,Miss,House,2013,649511,0.0038592673419739487
4157,Bennie G Thompson (D-Miss),D,Miss,House,2014,765012,0.17782762724572798
4684,Bennie G Thompson (D-Miss),D,Miss,House,2015,757012,-0.010457352302970402
5178,Bennie G Thompson (D-Miss),D,Miss,House,2016,757012,0.0
5705,Bennie G Thompson (D-Miss),D,Miss,House,2017,881511,0.16446106534638827
239,Bennie G Thompson (D-Miss),D,Miss,House,2018,889511,0.009075326343063184
880,Bernie Sanders (I-Vt),I,Vt,Senate,2008,219504,
1520,Bernie Sanders (I-Vt),I,Vt,Senate,2009,105003,-0.5216351410452658
1997,Bernie Sanders (I-Vt),I,Vt,Senate,2010,429004,3.0856356485052805
2604,Bernie Sanders (I-Vt),I,Vt,Senate,2011,308005,-0.2820463212464219
3123,Bernie Sanders (I-Vt),I,Vt,Senate,2012,460506,0.4951250791383257
3847,Bernie Sanders (I-Vt),I,Vt,Senate,2013,-113980,-1.2475103473136073
4166,Bernie Sanders (I-Vt),I,Vt,Senate,2014,682518,-6.9880505351816105
4689,Bernie Sanders (I-Vt),I,Vt,Senate,2015,712516,0.04395195438069033
5167,Bernie Sanders (I-Vt),I,Vt,Senate,2016,873031,0.22527915162606882
5812,Bernie Sanders (I-Vt),I,Vt,Senate,2017,211515,-0.7577233798112553
279,Bernie Sanders (I-Vt),I,Vt,Senate,2018,513513,1.4277852634564923
3376,Beto O'Rourke (D-Texas),D,Texas,House,2013,7910545,
