Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
1990,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1,1.9,2.5,1.8,2.7,1.7,2.7,1,6.9,5.4,8.5,5.1,8.8,5.0,8.9,1,1.7,1.6,2.1,1.5,2.2,1.5,2.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10.7,8.9,13.1,8.4,13.7,8.2,13.8
1991,1,5.8,5.8,7.5,5.5,7.9,5.4,8.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2,1.2,1.3,1.1,1.5,1.0,1.6,1,2.9,2.5,3.4,2.3,3.5,2.1,3.7,1,6.4,5.0,7.3,4.8,7.7,4.4,8.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,16.3,14.5,19.5,13.7,20.6,12.9,21.6
1992,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5.9,5.7,6.8,5.2,7.0,4.8,7.3,2,56.6,50.5,61.5,48.6,63.6,47.7,64.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.7,4.1,5.1,4.0,5.3,3.9,5.4,7,67.2,60.3,73.4,57.8,75.9,56.4,77.5
1993,1,2.3,2.3,2.8,2.2,2.9,2.2,3.0,1,38.1,27.0,36.3,25.3,38.1,24.2,39.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2,1.0,1.2,0.9,1.3,0.8,1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.5,1.8,2.6,1.7,2.8,1.7,2.9,1,10.1,9.3,10.7,9.1,11.0,8.9,11.2,5,54.2,41.4,53.6,39.2,56.1,37.8,57.6
1994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8,1.8,2.5,1.7,2.7,1.6,2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8,1.6,1.8,1.5,1.9,1.4,2.0,1,1.8,1.5,2.1,1.5,2.2,1.4,2.2,1,1.3,1.1,1.6,1.0,1.6,0.9,1.8,2,7.2,6.2,7.7,6.0,8.0,5.8,8.1,6,13.9,12.2,15.7,11.7,16.4,11.1,16.9
1995,1,1.7,1.5,1.9,1.3,2.1,1.1,2.3,1,4.3,2.7,4.2,2.5,4.4,2.4,4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.5,7.2,9.8,6.7,10.5,6.4,10.8,3,13.2,12.2,15.6,11.7,16.6,11.3,17.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,28.7,23.6,31.5,22.2,33.6,21.2,34.9
1996,1,3.0,2.9,4.0,2.8,4.2,2.7,4.4,1,1.7,1.6,2.3,1.5,2.4,1.4,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.5,7.7,10.0,7.3,10.5,7.0,10.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.1,4.1,5.5,3.9,5.9,3.9,6.0,4,18.3,16.3,21.8,15.5,23.0,15.0,23.7
1997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10.9,10.2,14.9,9.6,15.6,8.8,16.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.6,1.5,1.7,1.4,1.9,1.3,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,12.5,11.7,16.6,11.0,17.5,10.1,18.3
1998,1,5.7,4.8,5.9,4.6,6.2,4.5,6.4,1,1.5,1.3,1.9,1.3,2.0,1.2,2.1,1,4.0,3.3,4.8,3.1,4.9,3.1,5.0,3,6.0,5.5,6.3,5.3,6.8,5.1,7.0,3,12.3,10.7,13.9,10.1,14.7,9.8,15.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,1.8,2.2,1.8,2.3,1.7,2.6,10,31.8,27.4,35.0,26.2,36.9,25.4,38.3
1999,1,3.9,3.6,4.2,3.5,4.3,3.5,4.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.2,2.7,3.4,2.6,3.6,2.5,3.8,1,10.3,9.0,11.1,8.6,11.6,8.4,11.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,2.9,3.5,2.6,3.8,2.5,4.1,5,20.4,18.2,22.2,17.3,23.3,16.9,24.2
