"Data Source","World Development Indicators",

"Last Updated Date","2021-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahrain","BHR","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","819999.992847443","9020000.45776367","12479999.5422363","5849999.90463257","5130000.11444092","7340000.15258789","66260002.1362305","389999.985694885","1840000.0333786","1100000.02384186","6179999.82833862","27389999.3896484","15260000.2288818","65839996.3378906","156660003.662109","94720001.2207031","574789978.027344","156380004.882813","238720001.220703","339570007.324219","477549987.792969","469440002.441406","379519989.013672","622130004.882813","525599975.585938","183169998.168945","202350006.103516","15329999.9237061","-4550000.19073486","-4099999.90463257","204240005.493164","135449996.948242","108650001.525879","155440002.441406","126730003.356934","118559997.558594","166449996.948242","202279998.779297","274420013.427734","83419998.1689453","84300003.0517578","104389999.389648","87709999.0844727","166070007.324219","67510002.1362305","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","-400000.005960464","","","140000.000596046","509999.990463257","569999.992847443","379999.995231628","4400000.09536743","409999.996423721","529999.971389771","519999.980926514","1570000.05245209","7159999.84741211","2269999.98092651","2200000.04768372","2480000.01907349","2150000.09536743","1549999.95231628","2369999.88555908","2269999.98092651","3250000","3329999.92370605","3309999.94277954","2250000","22920000.0762939","1799999.95231628","3569999.9332428","1169999.95708466","2420000.07629395","7070000.17166138","4739999.77111816","4030000.20980835","3890000.10490417","1570000.05245209","1299999.95231628","5730000.01907349","2019999.98092651","4940000.05722046","32209999.0844727","16840000.1525879","7730000.01907349","10289999.961853","5710000.03814697","5280000.20980835","6119999.88555908","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19999.9995529652","9999.99977648258","9999.99977648258","18879999.1607666","98529998.7792969","608609985.351563","1208089965.82031","1137959960.9375","1236050048.82813","1307439941.40625","1844890014.64844","1176579956.05469","1014280029.29688","831900024.414063","686559997.558594","797520019.53125","610479980.46875","587859985.351563","598500000","429279998.779297","402709991.455078","501260009.765625","575059997.558594","548849975.585938","483839996.337891","580500000","375149993.896484","470410003.662109","458440002.441406","355950012.207031","475029998.779297","",
"Belarus","BLR","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271980010.986328","362309997.558594","267119995.117188","161660003.662109","265950012.207031","103019996.643066","81139999.3896484","58279998.7792969","59650001.5258789","55700000.7629395","63540000.9155273","60209999.0844727","60840000.1525879","59619998.9318848","66449996.9482422","83839996.3378906","86620002.746582","103419998.168945","98279998.7792969","137610000.610352","110050003.051758","100489997.86377","101709999.084473","112199996.948242","112949996.948242","-20809999.4659424","-259489990.234375","119099998.474121","221089996.337891","",
"Belize","BLZ","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","18020000.4577637","26799999.2370605","47939998.626709","36959999.0844727","10720000.2670288","16559999.4659424","19319999.6948242","44529998.7792969","45430000.3051758","53680000.3051758","42889999.3896484","32729999.5422363","22879999.1607666","25250000","29809999.4659424","34560001.373291","47270000.4577637","34360000.6103516","56389999.3896484","55790000.9155273","31020000.4577637","25059999.4659424","28739999.7711182","34479999.5422363","33799999.2370605","48490001.6784668","49529998.7792969","44950000.7629395","44020000.4577637","49159999.8474121","47720001.2207031","33259998.3215332","37529998.7792969","46180000.3051758","46009998.3215332","24639999.3896484","27850000.3814697","18610000.6103516","19729999.5422363","59229999.5422363","24309999.4659424","33290000.9155273","31489999.7711182","16020000.4577637","7670000.07629395","12670000.0762939","8380000.11444092","21809999.4659424","22190000.5340576","25879999.1607666","22790000.9155273","19459999.0844727","25350000.3814697","50060001.373291","35409999.8474121","30129999.1607666","37470001.2207031","35759998.3215332","33790000.9155273","38369998.9318848","",
"Bermuda","BMU","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","90000.0035762787","419999.986886978","460000.00834465","469999.998807907","319999.992847443","79999.9982118607","70000.0002980232","","59999.9986588955","","150000.005960464","90000.0035762787","140000.000596046","289999.99165535","460000.00834465","379999.995231628","629999.995231628","490000.009536743","170000.001788139","170000.001788139","209999.993443489","2960000.03814697","189999.997615814","409999.996423721","59999.9986588955","180000.007152557","61509998.3215332","-6860000.1335144","-6480000.01907349","-6369999.88555908","-15869999.8855591","-2269999.98092651","-4670000.07629395","-10859999.6566772","800000.011920929","119999.997317791","90000.0035762787","29999.9993294477","19999.9995529652","39999.9991059303","100000.001490116","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","88830001.8310547","153889999.389648","214970001.220703","311760009.765625","241830001.831055","223619995.117188","187300003.051758","181080001.831055","239009994.506836","188789993.286133","170339996.337891","170089996.337891","232339996.337891","110059997.558594","223330001.831055","175279998.779297","196860000.610352","224679992.675781","326459991.455078","316029998.779297","326100006.103516","296299987.792969","260730010.986328","361570007.324219","325670013.427734","388570007.324219","516820007.324219","496549987.792969","692080017.089844","792289978.027344","722369995.117188","697570007.324219","902039978.027344","774580017.089844","719380004.882813","822030029.296875","948849975.585938","867919982.910156","775799987.792969","720049987.792969","631309997.558594","1025530029.29688","878739990.234375","980969970.703125","816760009.765625","630159973.144531","899630004.882813","477000000","571799987.792969","599789978.027344","544489990.234375","500260009.765625","634489990.234375","660250000","636770019.53125","836770019.53125","741869995.117188","991580017.089844","728849975.585938","736549987.792969","",
"Brazil","BRA","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","263100006.103516","1959500000","1212959960.9375","1311849975.58594","1510530029.29688","1598500000","2019540039.0625","1014919982.91016","1184979980.46875","702919982.910156","721140014.648438","589630004.882813","467429992.675781","290290008.544922","533239990.234375","485149993.896484","327589996.337891","210649993.896484","215710006.713867","195559997.558594","169389999.389648","540859985.351563","443880004.882813","274880004.882813","398329986.572266","252580001.831055","292750000","473910003.662109","336880004.882813","332179992.675781","237699996.948242","272190002.441406","-444040008.544922","227229995.727539","311519989.013672","281459991.455078","302070007.324219","294130004.882813","327059997.558594","127680000.305176","298059997.558594","363989990.234375","308609985.351563","262779998.779297","186899993.896484","235979995.727539","113129997.253418","320640014.648438","435049987.792969","369369995.117188","470480010.986328","744979980.46875","1259630004.88281","969809997.558594","837719970.703125","1088530029.29688","735210021.972656","290279998.779297","444829986.572266","299390014.648438","",
"Barbados","BRB","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","12060000.4196167","4059999.94277954","6190000.05722046","9289999.96185303","15529999.7329712","28209999.0844727","26170000.0762939","22079999.9237061","15130000.1144409","15869999.8855591","19389999.3896484","15359999.6566772","26850000.3814697","17260000.2288818","16200000.7629395","24790000.9155273","20920000.0762939","36689998.626709","13210000.038147","14550000.1907349","9920000.07629395","8979999.54223633","3279999.97138977","1679999.94754791","3200000.04768372","3240000.00953674","1529999.97138977","7449999.80926514","3950000.04768372","370000.004768372","7210000.03814697","8180000.30517578","24409999.8474121","-1009999.99046326","2990000.00953674","-310000.002384186","6730000.01907349","27110000.6103516","34650001.5258789","-980000.019073486","-649999.976158142","18200000.7629395","8710000.03814697","11319999.6948242","14949999.8092651","","","","","","","","","","",
"Brunei Darussalam","BRN","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","70000.0002980232","3680000.0667572","5400000.09536743","289999.99165535","509999.990463257","579999.983310699","569999.992847443","490000.009536743","209999.993443489","209999.993443489","70000.0002980232","300000.011920929","109999.999403954","680000.007152557","740000.009536743","610000.014305115","449999.988079071","270000.010728836","270000.010728836","230000.004172325","59999.9986588955","389999.985694885","610000.014305115","970000.028610229","1820000.05245209","3190000.05722046","4070000.17166138","4469999.79019165","5510000.22888184","5639999.8664856","4969999.79019165","4280000.20980835","5900000.09536743","4829999.92370605","4650000.09536743","3309999.94277954","2849999.90463257","430000.007152557","400000.005960464","1990000.00953674","1000000","519999.980926514","-769999.980926514","519999.980926514","819999.992847443","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","109999.999403954","100000.001490116","1500000","430000.007152557","90000.0035762787","1179999.94754791","790000.021457672","1649999.97615814","1009999.99046326","1179999.94754791","2960000.03814697","2569999.9332428","8170000.07629395","12460000.038147","9979999.54223633","9069999.69482422","12810000.4196167","19270000.4577637","23850000.3814697","27899999.6185303","31309999.4659424","42669998.1689453","54450000.7629395","76699996.9482422","65209999.0844727","58830001.8310547","61049999.2370605","61880001.0681152","79610000.6103516","71250000","80279998.7792969","87330001.8310547","77250000","70389999.3896484","78819999.6948242","75449996.9482422","89599998.4741211","72389999.3896484","84319999.6948242","86220001.2207031","91029998.7792969","83059997.5585938","88120002.746582","101610000.610352","98599998.4741211","74790000.9155273","97309997.5585938","87360000.6103516","103250000","143589996.337891","127459999.084473","122459999.084473","103110000.610352","53310001.373291","122500000","107919998.168945","184339996.337891","",
"Botswana","BWA","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","34110000.6103516","52380001.0681152","48419998.1689453","48630001.0681152","78300003.0517578","84540000.9155273","133619995.117188","138539993.286133","137210006.713867","104809997.558594","93809997.5585938","110290000.915527","158149993.896484","162190002.441406","156250000","186229995.727539","170169998.168945","154399993.896484","200449996.948242","250309997.558594","238740005.493164","228639999.389648","246690002.441406","258760009.765625","266329986.572266","250190002.441406","219009994.506836","292500000","248960006.713867","268730010.986328","221160003.662109","199070007.324219","160190002.441406","193259994.506836","123410003.662109","117519996.643066","89489997.8637695","169550003.051758","138210006.713867","81040000.9155273","44180000.3051758","42470001.2207031","53369998.9318848","36509998.3215332","57520000.4577637","57209999.0844727","75900001.5258789","112099998.474121","733580017.089844","315359985.351563","161649993.896484","124279998.779297","75860000.6103516","110459999.084473","99959999.0844727","69230003.3569336","94360000.6103516","105449996.948242","85750000","68650001.5258789","",
"Central African Republic","CAF","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","300000.011920929","4099999.90463257","10659999.8474121","18930000.3051758","134589996.337891","122680000.305176","115760002.13623","145910003.662109","120790000.915527","131949996.948242","96319999.6948242","95500000","139960006.713867","121150001.525879","162850006.103516","196979995.727539","139589996.337891","146669998.168945","141839996.337891","201000000","235710006.713867","244300003.051758","225860000.610352","243360000.610352","358100006.103516","280170013.427734","275269989.013672","314579986.572266","337799987.792969","318250000","365980010.986328","248089996.337891","233539993.286133","232779998.779297","223600006.103516","180149993.896484","198929992.675781","117580001.831055","163270004.272461","160710006.713867","103059997.558594","113620002.746582","84199996.9482422","64550003.0517578","127389999.389648","101779998.779297","147919998.168945","179259994.506836","253119995.117188","238279998.779297","258839996.337891","242770004.272461","218410003.662109","191539993.286133","574039978.027344","519030029.296875","540130004.882813","535219970.703125","656250000","770030029.296875","",
"Canada","CAN","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","128529998.779297","819500000","932729980.46875","881880004.882813","722130004.882813","676890014.648438","790869995.117188","598049987.792969","440829986.572266","405989990.234375","316489990.234375","158039993.286133","201350006.103516","181600006.103516","65849998.4741211","418260009.765625","39759998.3215332","34590000.1525879","15989999.7711182","-82639999.3896484","-22659999.8474121","2930000.0667572","5409999.84741211","29809999.4659424","40790000.9155273","130880004.882813","11159999.8474121","43180000.3051758","79379997.253418","113470001.220703","152100006.103516","172919998.168945","173369995.117188","244660003.662109","194690002.441406","153500000","223860000.610352","162389999.389648","137929992.675781","89059997.5585938","70040000.9155273","82309997.5585938","13479999.5422363","100980003.356934","70040000.9155273","191589996.337891","107779998.779297","104529998.779297","92970001.2207031","71870002.746582","176369995.117188","150300003.051758","117349998.474121","74129997.253418","230179992.675781","57450000.7629395","193699996.948242","73699996.9482422","","","",
"China","CHN","Net official development assistance and official aid received (constant 2018 US$)","DT.ODA.ALLD.KD","","","","","","","","","","","","","","","","","","","","41349998.4741211","148220001.220703","1131349975.58594","1239489990.23438","1574819946.28906","1889050048.82813","2260850097.65625","1986380004.88281","2197360107.42188","2855409912.10938","3082030029.29688","2814300048.82813","2575899902.34375","3687810058.59375","3866379882.8125","3523489990.23438","3548709960.9375","2987439941.40625","2588219970.70313","3027590087.89063","2794229980.46875","2158550048.82813","1967219970.70313","1901589965.82031","1531150024.41406","1763239990.23438","1848199951.17188","1345719970.70313","1435560058.59375","1208069946.28906","1075300048.82813","697799987.792969","-504399993.896484","21879999.1607666","-607989990.234375","-928450012.207031","-330239990.234375","-744650024.414063","-997679992.675781","-705450012.207031","-559890014.648438","",
