Region,pregnancy20
North Dakota,100
Mississippi,100
Louisiana,99
Kentucky,98
Alabama,95
Utah,94
Arkansas,93
West Virginia,92
Indiana,92
Tennessee,92
Alaska,91
Georgia,90
Kansas,90
Oklahoma,90
Missouri,90
Texas,89
Nebraska,89
North Carolina,88
Wyoming,87
Pennsylvania,87
Idaho,87
Ohio,87
Virginia,87
Iowa,86
South Dakota,85
Michigan,85
Maryland,84
South Carolina,84
Hawaii,83
Washington,83
Delaware,82
Minnesota,82
Illinois,80
Wisconsin,79
Connecticut,79
New Mexico,79
Nevada,79
Colorado,79
New York,78
Arizona,78
Montana,78
New Jersey,78
Rhode Island,77
District of Columbia,76
New Hampshire,75
California,75
Maine,74
Massachusetts,74
Florida,74
Oregon,74
Vermont,69
