Week,pregnancy19
2019-01-06,99
2019-01-13,94
2019-01-20,100
2019-01-27,93
2019-02-03,92
2019-02-10,92
2019-02-17,93
2019-02-24,89
2019-03-03,91
2019-03-10,89
2019-03-17,91
2019-03-24,94
2019-03-31,95
2019-04-07,89
2019-04-14,90
2019-04-21,91
2019-04-28,90
2019-05-05,90
2019-05-12,91
2019-05-19,90
2019-05-26,92
2019-06-02,89
2019-06-09,91
2019-06-16,94
2019-06-23,93
2019-06-30,88
2019-07-07,92
2019-07-14,97
2019-07-21,92
2019-07-28,95
2019-08-04,90
2019-08-11,88
2019-08-18,90
2019-08-25,86
2019-09-01,85
2019-09-08,86
2019-09-15,87
2019-09-22,88
2019-09-29,89
2019-10-06,85
2019-10-13,85
2019-10-20,90
2019-10-27,85
2019-11-03,90
2019-11-10,84
2019-11-17,86
2019-11-24,84
2019-12-01,88
2019-12-08,85
2019-12-15,84
2019-12-22,87
2019-12-29,97
