,url,headline,rating,date
3,/factchecks/2021/mar/12/facebook-posts/no-el-chapo-didnt-testify-he-paid-pelosi/,Says El Chapo testified in court that he paid off Nancy Pelosi to keep the U.S.-Mexico border open for drug cartels.,pants-fire,12-03-2021
4,/factchecks/2021/mar/12/ashley-moody/fact-checking-florida-attorney-general-bidens-immi/,Says the Biden administration is canceling immigration detainers and “requiring our law enforcement leaders to release” serious criminal offenders.,half-true,12-03-2021
5,/factchecks/2021/mar/11/ron-johnson/johnson-flips-position-last-minute-bills-now-dems-/,On passing high-dollar legislation with no time to read it.,full-flop,11-03-2021
6,/factchecks/2021/mar/11/facebook-posts/no-evidence-oprah-helped-harvey-weinstein-abuse-wo/,Says Oprah Winfrey for years “pimped young Hollywood girls to Harvey Weinstein to be raped.”,pants-fire,11-03-2021
7,/factchecks/2021/mar/11/facebook-posts/no-nevadas-attorney-general-didnt-admit-changing-s/,"“Nevada AG admits to changing signature verifications manually for over 200,000 votes.”",false,11-03-2021
8,/factchecks/2021/mar/11/kayleigh-mcenany/border-apprehensions-then-and-now-fact-checking-mc/,"Current immigration ""apprehension numbers are worse than the 'crisis' Biden/Obama/Pelosi acknowledged in 2014!""",mostly-true,11-03-2021
9,/factchecks/2021/mar/11/blog-posting/no-navy-seals-didnt-arrest-hillary-clinton/,“Navy SEALs arrest Hillary Clinton.”,pants-fire,11-03-2021
10,/factchecks/2021/mar/11/greg-abbott/abbott-exaggerates-covid-19-concerns-among-migrant/,“The Biden Administration is recklessly releasing hundreds of illegal immigrants who have COVID into Texas communities.”,barely-true,11-03-2021
11,/factchecks/2021/mar/11/instagram-posts/theres-no-scientific-evidence-support-these-supple/,"Vitamin D, vitamin C, colloidal silver and black seed oil can kill the coronavirus.",false,11-03-2021
12,/factchecks/2021/mar/11/blog-posting/did-schumer-and-pelosi-sneak-money-covid-19-relief/,“Schumer and Pelosi sneak funding into COVID bill.”,false,11-03-2021
13,/factchecks/2021/mar/11/facebook-posts/stimulus-bill-bestows-25-million-bonus-house-membe/,"The $1.9 trillion COVID-19 relief bill ""awards a $25 million bonus"" to House members.",pants-fire,11-03-2021
14,/factchecks/2021/mar/10/facebook-posts/cartoon-misleads-about-voter-eligibility-under-hr-/,"Under HR 1, a person can still vote if they are 16, in the U.S. illegally, have no ID and have not registered to vote",barely-true,10-03-2021
15,/factchecks/2021/mar/10/blog-posting/air-force-introduced-maternity-flight-duty-uniform/,“Biden is making ‘maternity flight suits’ so pregnant women can fight in the military.”,barely-true,10-03-2021
16,/factchecks/2021/mar/10/gavin-newsom/does-california-have-one-lowest-covid-19-death-rat/,"“California’s [COVID-19] death rate has remained one of the lowest per capita in the nation: 134 deaths per 100,000, compared to 158 nationally, 153 in Texas and 247 in New York.”",half-true,10-03-2021
17,/factchecks/2021/mar/10/ted-budd/no-hr-1-doesnt-allow-minors-vote/,Says H.R. 1 “allows minors to vote.”,false,10-03-2021
18,/factchecks/2021/mar/10/facebook-posts/aocs-net-worth-over-1-million-s-pants-fire/,"Says Alexandria Ocasio-Cortez's net worth is “over $1 million.”
",pants-fire,10-03-2021
19,/factchecks/2021/mar/10/roy-blunt/blunts-proposal-reopen-schools-relied-withholding-/,Says his amendment on a budget bill “would have helped get kids back in school after teachers were vaccinated. Every single Senate Democrat voted against it.”,half-true,10-03-2021
20,/factchecks/2021/mar/10/instagram-posts/nurse-didnt-pretend-vaccinate-anthony-hopkins-vide/,A video shows a nurse pretending to vaccinate actor Anthony Hopkins before squirting fluid in the syringe on the floor.,false,10-03-2021
21,/factchecks/2021/mar/10/facebook-posts/no-price-gas-isnt-50-cents-price-food-isnt-10-unde/,Says Joe Biden executive orders caused price increases of 50 cents in gas and 10% in food.,false,10-03-2021
22,/factchecks/2021/mar/10/viral-image/no-schools-arent-banning-seuss-books/,“Schools banning Dr. Seuss books.”,false,10-03-2021
23,/factchecks/2021/mar/09/tom-cotton/yes-democrats-voted-send-stimulus-checks-prisoners/,“Senate Democrats just voted to give stimulus checks to criminals in prison.”,mostly-true,09-03-2021
24,/factchecks/2021/mar/09/marco-rubio/rubio-takes-democratic-school-reopening-vote-out-c/,"In rejecting his amendment, “Democrats voted to send reopening money to schools that refuse to reopen.”",half-true,09-03-2021
25,/factchecks/2021/mar/09/facebook-posts/georgia-bill-would-ban-giving-food-water-voters-li/,The Georgia House passed a bill that “makes it a misdemeanor to give food or water to voters waiting in line.”,true,09-03-2021
26,/factchecks/2021/mar/09/gateway-pundit/no-evidence-dumpster-dive-found-2020-cast-ballots-/,“Ballots in Arizona’s Maricopa County” from the 2020 presidential election “found shredded and in dumpster days before Senate audit to begin.”,false,09-03-2021
27,/factchecks/2021/mar/09/facebook-posts/no-oprah-wasnt-wearing-ankle-monitor-her-meghan-ma/,Says Oprah Winfrey was wearing an ankle monitor during her Meghan Markle interview.,pants-fire,09-03-2021
28,/factchecks/2021/mar/09/roger-marshall/kansas-senator-leaves-out-context-claim-about-tran/,"A study “suggests that even after two years of hormone therapy, biological boys still maintain significant advantages over girls, including being 12% faster on the 1.5-mile run.”",barely-true,09-03-2021
29,/factchecks/2021/mar/08/chuck-todd/founders-didnt-put-senate-filibuster-constitution/,“The filibuster was never an idea of the founding fathers.”,true,08-03-2021
0,/factchecks/2021/mar/08/instagram-posts/misleading-video-suggests-dr-anthony-fauci-said-va/,Video suggests Dr. Anthony Fauci said vaccines don’t protect against COVID-19.,false,08-03-2021
1,/factchecks/2021/mar/06/ron-kim/new-york-nursing-homes-not-blanket-immunity-close/,"Says Gov. Andrew Cuomo ""issued a legal blanket immunity, and snuck that into our budget, giving these facilities essentially a license to kill, a get-out-of-jail free card.”",half-true,06-03-2021
2,/factchecks/2021/mar/05/joe-biden/bidens-criticism-trump-administration-vaccine-cont/,"“When I came into office, the prior administration had contracted for not nearly enough vaccine to cover adults in America.”",barely-true,05-03-2021
3,/factchecks/2021/mar/05/facebook-posts/judge-did-order-new-election-small-miss-city-after/,"In Aberdeen, Miss., “Massive 78% of mail-in ballots proved fraudulent, judge orders election do-over.”",mostly-true,05-03-2021
4,/factchecks/2021/mar/05/karen-brinson-bell/nc-elections-board-leader-downplays-rule-changes/,"Says the NC elections board “did not change state law.""",barely-true,05-03-2021
5,/factchecks/2021/mar/05/mike-pence/pence-falsely-says-if-hr-1-passes-millions-people-/,"The voting bill known as H.R. 1 would mean “that millions of illegal immigrants are quickly registered to vote.""",false,05-03-2021
6,/factchecks/2021/mar/05/charlie-kirk/no-hr-1-would-not-allow-boston-marathon-bomber-vot/,H.R. 1 “would allow the Boston bomber to have a right to vote.”,false,05-03-2021
7,/factchecks/2021/mar/05/viral-image/no-isnt-video-someone-wearing-fauci-mask/,Video shows someone wearing an Anthony Fauci mask.,pants-fire,05-03-2021
8,/factchecks/2021/mar/05/melissa-agard/wisconsin-democratic-lawmaker-overstates-youth-mar/,"""Youth usage of marijuana has actually gone down in states that have fully legalized.”",half-true,05-03-2021
9,/factchecks/2021/mar/05/energy-transfer/gas-pipelines-didnt-freeze-during-texas-winter-sto/,“Pipelines do not freeze. They are naturally insulated. They’re buried beneath the ground.”,true,05-03-2021
10,/factchecks/2021/mar/05/chris-kapanga/yes-marijuana-can-increase-risk-schizophrenia-and-/,"“The National Academy of Medicine points to a significant correlation between marijuana and psychosis, schizophrenia, and other psychotic disorders, particularly in teenagers where the risk of developing schizophrenia increases three fold.”",true,05-03-2021
11,/factchecks/2021/mar/05/facebook-posts/biden-wasnt-involved-dr-seuss-or-mr-potato-head-ch/,“Biden took down Dr. Seuss and Mr. Potato Head.”,false,05-03-2021
12,/factchecks/2021/mar/05/viral-image/photos-show-uk-lords-sleeping-not-us-senators/,Photos show U.S. senators sleeping in the chamber.,false,05-03-2021
13,/factchecks/2021/mar/05/viral-image/no-young-children-cannot-take-hormones-or-change-t/,Says 5-year-olds can “take hormones and change my sex.”,false,05-03-2021
14,/factchecks/2021/mar/04/viral-image/no-nasa-didnt-discover-thc-meteorite-fragment/,“NASA discovers THC on meteorite fragment.”,pants-fire,04-03-2021
15,/factchecks/2021/mar/04/mike-pence/mike-pence-wrong-hr-1-forces-states-shift-universa/,"The voting bill known as H.R. 1 ""would force states to adopt universal mail-in ballots.”",false,04-03-2021
16,/factchecks/2021/mar/04/sherri-tenpenny/covid-19-vaccine-does-not-cause-death-autoimmune-d/,"""Some people are going to die from the vaccine directly. But a large number of people are going to start getting horribly sick and get all kinds of autoimmune diseases.""",pants-fire,04-03-2021
17,/factchecks/2021/mar/04/elise-stefanik/gop-lawmaker-misleads-about-hr-1-and-removal-ineli/,H.R. 1 would “prevent removal of ineligible voters from registration rolls.”,false,04-03-2021
18,/factchecks/2021/mar/04/doug-lamalfa/would-congress-new-voting-rights-act-allow-violent/,Voting-rights legislation proposed by Democrats in Congress called H.R. 1 “would force states to restore the voting rights of convicted felons—including violent felons convicted of murder or rape.”,half-true,04-03-2021
19,/factchecks/2021/mar/04/national-association-gun-rights/no-rubios-red-flag-bill-would-not-allow-gun-confis/,"""Marco Rubio's 'red flag' gun confiscation bill"" calls for guns to be confiscated ""without due process, based on unsubstantiated accusations.""",barely-true,04-03-2021
20,/factchecks/2021/mar/04/rachel-maddow/what-trump-said-encourage-covid-19-vaccine-use/,"""While he was president, President Trump never encouraged Americans to get vaccinated.""",false,04-03-2021
21,/factchecks/2021/mar/04/gordon-hintz/no-unemployment-not-fake-crisis-wisconsin/,Republicans are “trying to create a fake unemployment insurance crisis.”,false,04-03-2021
22,/factchecks/2021/mar/03/facebook-posts/donald-trump-will-not-be-re-inaugurated-president-/,"Says Donald Trump will be re-inaugurated as president on March 4, 2021.",pants-fire,03-03-2021
23,/factchecks/2021/mar/03/joe-biden/biden-wrong-about-fastest-growing-population-group/,"""The fastest-growing population in the United States is Hispanic.""",barely-true,03-03-2021
24,/factchecks/2021/mar/02/donald-trump/no-proof-trump-requested-10000-guard-troops-jan-6-/,"Says he requested “10,000 National Guardsmen” for his Jan. 6 rally, but Nancy Pelosi “rejected it.”",false,02-03-2021
25,/factchecks/2021/mar/02/facebook-posts/rachel-levine-does-not-support-gender-confirmation/,Says Rachel Levine supports “government-funded sex reassignment surgery without parental notification or authorization” for all children.,false,02-03-2021
26,/factchecks/2021/mar/02/viral-image/photo-faith-leaders-praying-over-golden-trump-stat/,Says a photo at CPAC shows evangelical leaders praying over a golden statue of former President Donald Trump.,false,02-03-2021
27,/factchecks/2021/mar/02/viral-image/no-instagram-isnt-limiting-your-posts/,“Instagram has been limiting our posts so that no more than 7% of our friends see our posts.”,false,02-03-2021
28,/factchecks/2021/mar/02/donald-trump/trump-misleads-about-hr-1-and-voter-registration-w/,HR 1 “automatically registers every welfare recipient to vote.”,barely-true,02-03-2021
29,/factchecks/2021/mar/02/facebook-posts/fact-checking-claims-al-gore-said-all-arctic-ice-w/,Says Al Gore said in 2009 that “the North Pole will be ice-free in the summer by 2013 because of man-made global warming.”,mostly-true,02-03-2021
0,/factchecks/2021/mar/02/rick-scott/gop-treats-trump-era-projects-pandemic-bill-democr/,"The $1.9 trillion relief package is “about a bridge for Chuck Schumer, a tunnel for Nancy Pelosi.”",barely-true,02-03-2021
