,url,headline,details,date
0,https://www.factcheck.org/2021/02/scicheck-video-airs-false-misleading-claims-about-face-masks/,"Video Airs False, Misleading Claims About Face Masks",Evidence of the efficacy of face masks to help control the spread of the novel coronavirus has grown since the start of the pandemic. But a Facebook video uses false and misleading claims to tell viewers that masks are “unsafe” and “ineffective.”,17-02-2021
1,https://www.factcheck.org/2021/02/graham-twists-facts-on-harris-support-for-protesters/,Graham Twists Facts on Harris Support for Protesters,"Sen. Lindsey Graham twisted the facts about then-Sen. Kamala Harris encouraging donations to pay bail for protesters to claim “she actually bailed out rioters,” including one who “went back to the streets and broke somebody’s head open.”",16-02-2021
2,https://www.factcheck.org/2021/02/scicheck-video-the-facts-about-fauci-and-masks/,SciCheck Video: The Facts About Fauci and Masks,"In this video, we explain how accumulating scientific evidence ultimately led the Centers for Disease Control and Prevention to change its guidance on the wearing of face coverings to reduce the spread of COVID-19.",16-02-2021
3,https://www.factcheck.org/2021/02/bidens-underwhelming-school-reopening-goal/,Biden’s Underwhelming School Reopening Goal,Two studies show a school reopening goal detailed by the Biden administration for his first 100 days may have already been met before President Joe Biden took office.,11-02-2021
4,https://www.factcheck.org/2021/02/bidens-minimum-wage-exaggeration/,Biden’s Minimum Wage Exaggeration,"President Biden overstated the impact of raising the federal minimum wage to $15, claiming that “if you’re making less than $15 an hour,” and working 40 hours a week, “you’re living below the poverty wage.” ",11-02-2021
5,https://www.factcheck.org/2021/02/schumer-warren-misstate-student-loan-debt-disparity/,"Schumer, Warren Misstate Student Loan Debt Disparity","In a press conference in which they called on President Biden to use his executive authority to cancel up to $50,000 in federal student loan debt for individuals, Senate Majority Leader Chuck Schumer and Democratic Sen. Elizabeth Warren misstated a racial disparity statistic.",09-02-2021
6,https://www.factcheck.org/2021/02/mccarthy-misleads-on-state-and-local-revenue/,McCarthy Misleads on State and Local Revenue,House Republican Leader Kevin McCarthy misleadingly argues that federal aid to state and local governments is unnecessary because state and local tax receipts were “the highest… in American history” in the third quarter.,09-02-2021
7,https://www.factcheck.org/2021/02/misleading-dccc-ads-link-republicans-to-qanon/,Misleading DCCC Ads Link Republicans to QAnon,"Democratic ads claim eight House Republicans “stood with Q, not you,” because they voted against Donald Trump’s second impeachment. But they aren’t known to be QAnon followers, and three of them supported censuring Trump as an alternative to impeaching him.",08-02-2021
8,https://www.factcheck.org/2021/02/both-sides-spin-cbo-report-in-covid-19-relief-debate/,Both Sides Spin CBO Report in COVID-19 Relief Debate,"In the debate over competing rescue plans, those in both political parties have miscited a recent report by the Congressional Budget Office to make their case.",05-02-2021
9,https://www.factcheck.org/2021/02/scicheck-headlines-distort-the-facts-on-cdc-mask-order/,Headlines Distort the Facts on CDC Mask Order,Headlines shared on social media distort the facts of a recent order by the Centers for Disease Control and Prevention that mandates face masks be worn on public transportation. The order doesn’t require that individuals wear two masks. CDC guidance issued with the order does say that cloth masks should be made of at least two layers.,05-02-2021
0,https://www.factcheck.org/2021/02/scicheck-video-wrong-about-fauci-covid-19/,"Video Wrong About Fauci, COVID-19","A video from conservative commentator Liz Wheeler falsely claims the nation’s top infectious disease expert, Dr. Anthony Fauci, repeatedly “lied” to the American public about the COVID-19 pandemic.",03-02-2021
1,https://www.factcheck.org/2021/02/scicheck-video-dont-confuse-the-virus-with-the-disease/,SciCheck Video: Don’t Confuse the Virus with the Disease,"In this video, available in English and Spanish, we explain the distinction between virus and disease: The virus SARS-CoV-2 can lead to illness with the disease COVID-19.",03-02-2021
2,https://www.factcheck.org/2021/02/scicheck-video-uses-bogus-claims-to-stoke-race-based-fears-of-covid-19-vaccine/,Video Uses Bogus Claims to Stoke Race-Based Fears of COVID-19 Vaccine,A viral video clip makes bogus claims about COVID-19 vaccines and falsely accuses the government of “pure racism” for “push[ing] this heavily on Blacks and browns.” Public health experts have recommended prioritizing those communities for the vaccine because they have suffered higher rates of infection and death.,02-02-2021
3,https://www.factcheck.org/2021/01/scicheck-viral-posts-distort-who-guidance-on-covid-19-tests/,Viral Posts Distort WHO Guidance on COVID-19 Tests,Dubious websites and viral posts falsely claim that the World Health Organization changed COVID-19 testing protocols for political reasons following Joe Biden’s inauguration and admitted that false-positive cases had been inflating the case count. The WHO’s guidance merely reminded labs to follow instructions provided by each test’s manufacturer.,29-01-2021
4,https://www.factcheck.org/2021/01/scicheck-hank-aarons-death-attributed-to-natural-causes/,Hank Aaron’s Death Attributed to Natural Causes,"Baseball legend Henry “Hank” Aaron died from natural causes, according to the medical examiner’s office in Fulton County, Georgia. There’s no evidence that his death was a result of being vaccinated against COVID-19 in early January, as multiple posts on social media suggested.",28-01-2021
5,https://www.factcheck.org/2021/01/paul-cites-distortion-to-argue-two-sides-in-election-fraud-debate/,Paul Cites Distortion to Argue ‘Two Sides’ in Election Fraud Debate,"In calling for a “thorough investigation” into “election fraud,” Republican Sen. Rand Paul distorted the facts about a Wisconsin policy that was introduced by Republicans and put in place before the 2016 general election.",26-01-2021
6,https://www.factcheck.org/2021/01/video-misinterprets-faucis-comments-on-covid-19-vaccine/,Video Misinterprets Fauci’s Comments on COVID-19 Vaccine,A Facebook video distorts a CNN interview with Dr. Anthony Fauci to falsely suggest that a COVID-19 vaccine authorized in the U.S doesn’t “protect you from covid.” ,26-01-2021
7,https://www.factcheck.org/2021/01/paul-distorts-cbos-estimate-on-impact-of-15-minimum-wage/,Paul Distorts CBO’s Estimate on Impact of $15 Minimum Wage,"Sen. Rand Paul says raising the federal minimum wage to $15 per hour will cost nearly 4 million people their jobs, citing the Congressional Budget Office. CBO’s median estimate is 1.3 million in 2025.",22-01-2021
8,https://www.factcheck.org/2021/01/viral-video-makes-false-and-unsupported-claims-about-vaccines/,Viral Video Makes False and Unsupported Claims About Vaccines,"A viral video makes a series of inaccurate and unfounded arguments for why people should not receive any vaccines, including those for COVID-19.",22-01-2021
9,https://www.factcheck.org/2021/01/trump-left-biden-a-generous-note/,Trump Left Biden a ‘Generous’ Note,"Former President Donald Trump left a note for President Joe Biden, contrary to a popular claim online suggesting that he did not. Biden confirmed he received a letter, which he called “generous,” but did not disclose its contents.",21-01-2021
0,https://www.factcheck.org/2021/01/factchecking-bidens-inaugural-address/,FactChecking Biden’s Inaugural Address,"Returning to a time when inaugural addresses promised unity and hope, but few facts, the newly sworn-in President Joe Biden delivered a traditional speech at his inauguration that offered little for fact-checkers.",20-01-2021
