,url,headline,review,date
32,https://factcheck.thedispatch.com/p/was-joe-bidens-inauguration-empty,"
Was Joe Biden’s Inauguration ‘Empty’?",The National Mall was closed to spectators out of security concerns after the January 6 riots.,29-01-2021
33,https://factcheck.thedispatch.com/p/does-rep-harold-ford-have-a-portrait,Does Rep. Harold Ford Have a Portrait of Mao in his Living Room?,No.,28-01-2021
34,https://factcheck.thedispatch.com/p/did-legislation-passed-in-1871-make,"Did Legislation Passed in 1871 Make Washington, D.C., a Foreign Entity?",The conspiracy theory is being spread to suggest that Donald Trump is still president.,28-01-2021
35,https://factcheck.thedispatch.com/p/did-trump-offer-to-let-national-guard,Did Trump Offer to Let National Guard Troops Stay at His Hotel?,There was no public announcement and various government offices were unfamiliar with any such invitations.,28-01-2021
36,https://factcheck.thedispatch.com/p/was-hank-aarons-death-tied-to-the,Was Hank Aaron’s Death Tied to the COVID Vaccine?,There is no evidence to support this claim.,28-01-2021
37,https://factcheck.thedispatch.com/p/did-kamala-harris-take-the-oath-with,Did Kamala Harris Take the Oath With Her Hand on a Purse? ,"No. The new vice president was sworn in using two Bibles, one on top of the other.",25-01-2021
38,https://factcheck.thedispatch.com/p/do-reports-that-militia-members-planned,Do Reports That Militia Members Planned to Storm the Capitol ‘Undermine’ the Case for Impea…,No.,22-01-2021
39,https://factcheck.thedispatch.com/p/does-a-video-show-national-guard,Does a Video Show National Guard Troops Turning Their Back on Joe Biden?,There is no evidence to support the claim.,22-01-2021
40,https://factcheck.thedispatch.com/p/trump-insurrection-act-false,Has Donald Trump Invoked the Insurrection Act?,No. The law requires a president to issue a public proclamation.,14-01-2021
41,https://factcheck.thedispatch.com/p/fact-checking-jim-jordans-claim-that,Fact Checking Jim Jordan’s Claim That He Never Said ‘The Election Was Stolen’,He has repeatedly cast doubt on the election results.,13-01-2021
42,https://factcheck.thedispatch.com/p/does-a-video-show-a-participant-in,Does a Video Show a Participant in the Capitol Riot Finding Out He’s on the ‘No Fly List’?,The woman who initially posted it to TikTok described it as a ‘meltdown’ over wearing a mask.,13-01-2021
43,https://factcheck.thedispatch.com/p/did-the-trump-family-party-while,Did the Trump Family 'Party' While the Capitol Was Overtaken?,A viral video makes a misleading claim.,12-01-2021
44,https://factcheck.thedispatch.com/p/fact-check-an-arizona-state-rep-claims,Fact Check: An Arizona State Rep Claims Antifa Members Were ‘Confirmed’ to be at the Capitol,He repeated claims from an already-debunked Washington Times article.,12-01-2021
45,https://factcheck.thedispatch.com/p/does-the-pfizerbiontech-vaccine-cause,Does the Pfizer/BioNTech Vaccine Cause Infertility?,No.,11-01-2021
