,url,headline,date,time
12,https://factcheck.afp.com/video-south-african-bikers-falsely-shared-footage-prayer-trumps-health,Video of South African bikers falsely shared as footage of prayer for Trump’s health,06-10-2020,00:05
13,https://factcheck.afp.com/biden-accused-wearing-wire-during-presidential-debate,Biden accused of wearing wire during presidential debate,05-10-2020,18:16
14,https://factcheck.afp.com/cdc-did-not-give-contradictory-advice-mask-use-smoke-covid-19,"CDC did not give contradictory advice on mask use for smoke, Covid-19",30-09-2020,23:08
0,https://factcheck.afp.com/trumps-executive-order-insulin-not-yet-implemented,Trump’s executive order on insulin not yet implemented,30-09-2020,21:53
1,https://factcheck.afp.com/donald-trumps-accusations-about-hunter-biden,Donald Trump’s accusations about Hunter Biden,30-09-2020,21:20
2,https://factcheck.afp.com/voting-mail-us-poses-little-risk-fraud,Voting by mail in US poses little risk of fraud,30-09-2020,23:11
3,https://factcheck.afp.com/trump-biden-trade-claims-coronavirus-response-first-debate,"Trump, Biden trade claims on coronavirus response in first debate",30-09-2020,18:05
4,https://factcheck.afp.com/donald-trumps-economic-record-us-president,Donald Trump’s economic record as US president,19-01-2021,23:53
5,https://factcheck.afp.com/dozens-girls-were-not-found-delaware-shipping-container,Dozens of girls were not found in a Delaware shipping container,29-09-2020,18:46
6,https://factcheck.afp.com/ruth-bader-ginsburg-was-not-nominated-or-confirmed-us-federal-election-year,Ruth Bader Ginsburg was not nominated or confirmed in a US federal election year,25-09-2020,22:18
7,https://factcheck.afp.com/us-attorney-generals-false-ballot-fraud-claim-spreads-online,US attorney general’s false ballot fraud claim spreads online,24-09-2020,17:27
8,https://factcheck.afp.com/trumps-campaign-falsely-claims-biden-botched-pledge-allegiance,Trump’s campaign falsely claims Biden botched Pledge of Allegiance,23-09-2020,21:58
9,https://factcheck.afp.com/justice-ginsburg-did-not-advocate-lowering-age-consent-12,Justice Ginsburg did not advocate lowering age of consent to 12,22-09-2020,22:51
10,https://factcheck.afp.com/target-stores-did-not-introduce-black-lives-matter-t-shirt-employee-uniform,Target stores did not introduce Black Lives Matter T-shirt as employee uniform,19-09-2020,00:46
11,https://factcheck.afp.com/map-us-fires-used-cast-doubt-cause-infernos,Map of US fires used to cast doubt on cause of infernos,22-09-2020,19:47
12,https://factcheck.afp.com/climate-change-key-factor-behind-california-wildfires,Climate change is key factor behind California wildfires,18-09-2020,21:56
13,https://factcheck.afp.com/biden-seeks-replacement-retirement-contribution-deductions-tax-credit,Biden seeks replacement of retirement contribution deductions with tax credit,17-09-2020,21:39
14,https://factcheck.afp.com/adding-stamp-will-not-expedite-us-mail-ballots-pre-paid-postage,Adding a stamp will not expedite US mail-in ballots with pre-paid postage,17-09-2020,20:33
0,https://factcheck.afp.com/trump-spreads-manipulated-video-biden-featuring-song-nwa,Trump spreads manipulated video of Biden featuring song by N.W.A.,17-09-2020,20:31
1,https://factcheck.afp.com/dramatic-hawaii-sunset-photo-falsely-used-depict-california-fires-again,Dramatic Hawaii sunset photo falsely used to depict California fires again,15-09-2020,21:57
2,https://factcheck.afp.com/false-claims-antifa-arson-arrests-spread-online-fires-hit-oregon,False claims of Antifa arson arrests spread online as fires hit Oregon,17-09-2020,17:14
3,https://factcheck.afp.com/boy-posing-guns-does-not-resemble-jacob-blake,Boy posing with guns does not resemble Jacob Blake,14-09-2020,16:56
4,https://factcheck.afp.com/kentucky-governor-did-not-attend-states-2020-derby,Kentucky governor did not attend state’s 2020 Derby,10-09-2020,23:20
5,https://factcheck.afp.com/video-misleadingly-edited-make-trump-appear-disoriented,Video misleadingly edited to make Trump appear disoriented,17-09-2020,20:43
6,https://factcheck.afp.com/authorities-did-not-find-39-children-georgia-trailer,Authorities did not find 39 children in a Georgia trailer,09-09-2020,00:52
7,https://factcheck.afp.com/pelosi-did-not-say-she-will-quit-if-trump-wins-november,Pelosi did not say she will quit if Trump wins in November,04-09-2020,21:08
8,https://factcheck.afp.com/manipulated-video-falsely-shows-biden-asleep-during-tv-interview,Manipulated video falsely shows Biden asleep during a TV interview,02-09-2020,16:47
